	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	User	User	Non-User	User	User	Non-User	User	Non-User	User	Non-User	Non-User	User	Non-User	User	Non-User	Non-User	Non-User	Non-User	Non-User	User	User	User	User	User	User	User	User	User	User	User	User	User	User	User	User	User	Non-User
Sample_ID	S100/8123	S101/8118	S102/8145	S103/8150	S104/8162	S105/8151	S106/8079	S107/8192	S108/8103	S109/8446	S110/8096	S111/8449	S112/8459	S113/8451	S114/8452	S115/8234	S116/8209	S117/8026	S118/8490	S119/8130	S120/8477	S121/8264	S122/8134	S123/8176	S124/8224	S125/8210	S126/8135	S127/8112	S128/8202	S129/8204	S130/8507	S131/8274	S132/8297	S133/8222	S134/8546	S135/8381	S136/8391	S137/8574	S138/8047	S139/8583	S140/8013	S141/8080	S142/8621	S143/8071	S144/8417	S145/8371	S146/8430	S147/8369	S148/8242	S149/8312
Unassigned|__|__|__|__|__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.03E-05	0	0	0	0	8.18E-05	0	0	0	0	0	0	3.75E-05	0	0	0	0	0	0	0	0	4.44E-05	0	0	0	0	0	0	0	0	0	4.04E-05	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0	0	4.47E-05	0	0.000936669	0	0	0	0	0	0	0.000140963	0	0	0.002089023	0	2.03E-05	0	0	0	0.002637368	0	0	0	0	0	0.004396364	0.010658258	0	0	0	0.000139447	0	0	0	0	0	0.000443991	7.10E-05	0.000774378	0.002276943	0.00274372	8.08E-05	0.001688631	0	0.001157798	0.001984529	0.021694915	0	2.70E-05
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.65E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.96E-05	0	0	0	0	0	0	0	9.69E-05	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__E2|f__[Methanomassiliicoccaceae]|g__Methanomassiliicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000200907	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__E2|f__[Methanomassiliicoccaceae]|g__vadinCA11	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000683008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.61E-05	0	0	0	0	0	0	0	0.001022576	0	0	0	0	0	0	0	0	0	0.000714392
k__Bacteria|__|__|__|__|__	0.000405331	0.000254221	5.37E-05	0.00064506	0.019537104	0.001609989	0.00106947	0.000400116	0.000515719	0.000453973	3.93E-05	0.000855175	0.000664502	0.001442854	0.000910419	0.001767417	0.001479875	0.000256298	0.000278494	0.000576563	0.000490365	0.00132322	0.000942408	0.00083563	0.000563246	0.000300862	0.000309771	0.001639732	0.000580872	0.000687876	0	0.000549072	0.000785955	0.000213034	0.000185798	0.000253978	0.000603284	0.002012757	0.001330589	0.042233386	0.000508964	0.000450462	0.000764324	0.000528287	0.000327936	0.000665734	0.000472507	0.003099274	0.00029184	0.000680694
k__Bacteria|p__|c__|o__|f__|g__	0	0	0	0	0.000102731	0	0	0	0	0	3.28E-05	4.70E-05	0	0	0	0	0	0	0	0	7.95E-05	2.73E-05	0	0	5.01E-05	0	0	7.88E-05	0	0	0	0	0	0	0	0	0	0	0.000124188	0	4.69E-05	0	0.000139636	0	9.37E-05	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	4.77E-05	8.47E-05	0.000134207	3.91E-05	0.000132947	0	0	5.11E-05	4.88E-05	0	0	0	0	0	0.000119978	9.34E-05	0	0	0	0	0	0	0	0	0	5.23E-05	0	0.000299566	0.000121796	0.000147402	0.000307966	0	0.000228475	0	0.000953761	0	0	0.000902781	0	0	0	0	0.000191081	0	0.000121805	7.72E-05	0	0	8.98E-05	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000552805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.98E-05	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus	0	4.24E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.08E-05	0.000147997	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium	0	0.000137703	0	0	0	0	7.53E-05	0	0	0	0	1.88E-05	0	0	7.76E-05	0	6.08E-05	0	0	0	0	0	0	8.73E-05	0	0	0	0	3.75E-05	0.000159686	0.000205311	0	0	0	0.000136252	0	0	0.002086756	0	0	0	3.28E-05	0	0	2.81E-05	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	0	0	0.000107365	0	0	0	0	2.55E-05	0	9.52E-05	0	1.88E-05	0	0	0.000148208	0	0.000121634	0	0	4.80E-05	0	2.73E-05	0.000942408	0	0	0	0	0	0	0	0	5.23E-05	9.14E-05	4.84E-05	0.000148638	0	0	0.002308751	0	0	0	2.46E-05	0	0	4.68E-05	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000103058	0	0	0	0	0	7.43E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.43E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.053463993	0.017774294	0.000178942	0	0.02284264	0	0.0101675	0	0.000146353	0	0.00093127	0.00018795	0.00019292	0	5.65E-05	0.012122769	0.00013177	0.001867311	0	0	0	0.000600224	0.00617801	9.98E-05	0.021703757	0.001072639	0.014416261	0	0.000159271	0	0.000273748	0.00020917	0.000228475	0.002779123	0.011915821	0	0.01174773	0.001553967	0	0.001876377	0.003114055	0.008558769	0.040714937	0.000669792	0.000674612	8.68E-05	0.000432006	0.001218725	0.000636061	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000251809	0	0	0.000124721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000384154	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia	0	0	0	0	0	0	9.04E-05	0	0	0	0	0	0	0	0	0	0	0	2.39E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.69E-05	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|__	0.000405331	0.000360147	0.001216806	0.000615739	0	0	0	0	0	0.000424684	0	0.001888902	0	0	0	0.000109004	0	0	0	0	0.001948207	0	0.000628272	0	0	0	0	0	0	0	0	0.000235317	0.000237614	0	0	0	0	0	0	0.000426901	0.000629508	0.000106473	0.000742276	0	0	0.003598823	0	0.005028249	0	0.000970494
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__	0.00102525	0.000550812	0.001843104	0.002140428	0.002405124	0.000944636	0	0	0	0.00098849	0.000367261	0.002302394	0.000182202	0.000828147	0.000719866	0.000763026	0.000101361	0.000192223	0	0	0.00213375	0.000163697	0.001361257	0.001060128	0.000463114	0	0.000190628	0.040063067	0.000140534	0.000282521	0.000102655	0.001403185	0.000868206	0	0.015346884	0.000242936	0	0	0.000833836	0.002769891	0.001754586	0.000458652	0.000176382	0.00050942	0	0.000955184	0.000904513	0.014656981	5.24E-05	0.003962852
